candidate,reference,bertscore_P,bertscore_R,bertscore_F1,moverscore,sms
Il professore di Programmazione è Roberto Tonelli.,Il professore di Programmazione è Roberto Tonelli.,1.0,1.0,1.0,,0.9999999403953552
Il professore di Programmazione è Roberto Tonelli.,Il professore di Programmazione è Roberto Tonelli.,1.0,1.0,1.0,,0.9999999403953552
Il professore di Programmazione è Roberto Tonelli.,Il professore di Programmazione è Roberto Tonelli.,1.0,1.0,1.0,,0.9999999403953552
Il professore di Programmazione è Roberto Tonelli.,Il professore di Programmazione è Roberto Tonelli.,1.0,1.0,1.0,,0.9999999403953552
Il professore di Programmazione è Roberto Tonelli.,Il professore di Programmazione è Roberto Tonelli.,1.0,1.0,1.0,,0.9999999403953552
Il professore di Programmazione è Roberto Tonelli.,Il professore di Programmazione è Roberto Tonelli.,1.0,1.0,1.0,,0.9999999403953552
Il professore di Programmazione è Roberto Tonelli.,Il professore di Programmazione è Roberto Tonelli.,1.0,1.0,1.0,,0.9999999403953552
Il professore di Programmazione è Roberto Tonelli.,Il professore di Programmazione è Roberto Tonelli.,1.0,1.0,1.0,,0.9999999403953552
Il professore di Programmazione è Roberto Tonelli.,Il professore di Programmazione è Roberto Tonelli.,1.0,1.0,1.0,,0.9999999403953552
Il professore di Programmazione è Roberto Tonelli.,Il professore di Programmazione è Roberto Tonelli.,1.0,1.0,1.0,,0.9999999403953552
