candidate,reference,bertscore_P,bertscore_R,bertscore_F1,moverscore,sms
Le lezioni del Lunedì sono:,Le lezioni del Lunedì sono:,1.0000001192092896,1.0000001192092896,1.0000001192092896,,1.0000000596046448
"- Programmazione (PR) – Lab T, 09:00‑11:00","- Programmazione (PR) – Lab T, 09:00‑11:00",0.9999998211860657,0.9999998211860657,0.9999998211860657,,1.0
"- Deep Learning (DL) – Lab M, 14:00‑16:00","- Deep Learning (DL) – Lab M, 14:00‑16:00",1.0000001192092896,1.0000001192092896,1.0000001192092896,,0.9999999105930328
"- Machine Learning (ML) – Lab T, 09:00‑11:00","- Machine Learning (ML) – Lab T, 09:00‑11:00",0.9999999403953552,0.9999999403953552,0.9999999403953552,,1.0000001192092896
"- Statistica Computazionale (SC) – Aula Magna di Matematica, 09:00‑11:00","- Statistica Computazionale (SC) – Aula Magna di Matematica, 09:00‑11:00",1.0,1.0,1.0,,1.0
,,0.0,0.0,0.0,,0.9999999701976776
Le lezioni del Lunedì sono:,Le lezioni del Lunedì sono:,1.0000001192092896,1.0000001192092896,1.0000001192092896,,1.0000000596046448
"- Programmazione (PR) – Lab T, 09:00‑11:00","- Programmazione (PR) – Lab T, 09:00‑11:00",0.9999998211860657,0.9999998211860657,0.9999998211860657,,1.0
"- Deep Learning (DL) – Lab M, 14:00‑16:00","- Deep Learning (DL) – Lab M, 14:00‑16:00",1.0000001192092896,1.0000001192092896,1.0000001192092896,,0.9999999105930328
"- Machine Learning (ML) – Lab T, 09:00‑11:00","- Machine Learning (ML) – Lab T, 09:00‑11:00",0.9999999403953552,0.9999999403953552,0.9999999403953552,,1.0000001192092896
"- Statistica Computazionale (SC) – Aula Magna di Matematica, 09:00‑11:00","- Statistica Computazionale (SC) – Aula Magna di Matematica, 09:00‑11:00",1.0,1.0,1.0,,1.0
,,0.0,0.0,0.0,,0.9999999701976776
Le lezioni del Lunedì sono:,Le lezioni del Lunedì sono:,1.0000001192092896,1.0000001192092896,1.0000001192092896,,1.0000000596046448
"- Programmazione (PR) – Lab T, 09:00‑11:00","- Programmazione (PR) – Lab T, 09:00‑11:00",0.9999998211860657,0.9999998211860657,0.9999998211860657,,1.0
"- Deep Learning (DL) – Lab M, 14:00‑16:00","- Deep Learning (DL) – Lab M, 14:00‑16:00",1.0000001192092896,1.0000001192092896,1.0000001192092896,,0.9999999105930328
"- Machine Learning (ML) – Lab T, 09:00‑11:00","- Machine Learning (ML) – Lab T, 09:00‑11:00",0.9999999403953552,0.9999999403953552,0.9999999403953552,,1.0000001192092896
"- Statistica Computazionale (SC) – Aula Magna di Matematica, 09:00‑11:00","- Statistica Computazionale (SC) – Aula Magna di Matematica, 09:00‑11:00",1.0,1.0,1.0,,1.0
,,0.0,0.0,0.0,,0.9999999701976776
Le lezioni del Lunedì sono:,Le lezioni del Lunedì sono:,1.0000001192092896,1.0000001192092896,1.0000001192092896,,1.0000000596046448
"- Programmazione (PR) – Lab T, 09:00‑11:00","- Programmazione (PR) – Lab T, 09:00‑11:00",0.9999998211860657,0.9999998211860657,0.9999998211860657,,1.0
"- Deep Learning (DL) – Lab M, 14:00‑16:00","- Deep Learning (DL) – Lab M, 14:00‑16:00",1.0000001192092896,1.0000001192092896,1.0000001192092896,,0.9999999105930328
"- Machine Learning (ML) – Lab T, 09:00‑11:00","- Machine Learning (ML) – Lab T, 09:00‑11:00",0.9999999403953552,0.9999999403953552,0.9999999403953552,,1.0000001192092896
"- Statistica Computazionale (SC) – Aula Magna di Matematica, 09:00‑11:00","- Statistica Computazionale (SC) – Aula Magna di Matematica, 09:00‑11:00",1.0,1.0,1.0,,1.0
,,0.0,0.0,0.0,,0.9999999701976776
Le lezioni del Lunedì sono:,Le lezioni del Lunedì sono:,1.0000001192092896,1.0000001192092896,1.0000001192092896,,1.0000000596046448
"- Programmazione (PR) – Lab T, 09:00‑11:00","- Programmazione (PR) – Lab T, 09:00‑11:00",0.9999998211860657,0.9999998211860657,0.9999998211860657,,1.0
"- Deep Learning (DL) – Lab M, 14:00‑16:00","- Deep Learning (DL) – Lab M, 14:00‑16:00",1.0000001192092896,1.0000001192092896,1.0000001192092896,,0.9999999105930328
"- Machine Learning (ML) – Lab T, 09:00‑11:00","- Machine Learning (ML) – Lab T, 09:00‑11:00",0.9999999403953552,0.9999999403953552,0.9999999403953552,,1.0000001192092896
"- Statistica Computazionale (SC) – Aula Magna di Matematica, 09:00‑11:00","- Statistica Computazionale (SC) – Aula Magna di Matematica, 09:00‑11:00",1.0,1.0,1.0,,1.0
,,0.0,0.0,0.0,,0.9999999701976776
Le lezioni del Lunedì sono:,Le lezioni del Lunedì sono:,1.0000001192092896,1.0000001192092896,1.0000001192092896,,1.0000000596046448
"- Programmazione (PR) – Lab T, 09:00‑11:00","- Programmazione (PR) – Lab T, 09:00‑11:00",0.9999998211860657,0.9999998211860657,0.9999998211860657,,1.0
"- Deep Learning (DL) – Lab M, 14:00‑16:00","- Deep Learning (DL) – Lab M, 14:00‑16:00",1.0000001192092896,1.0000001192092896,1.0000001192092896,,0.9999999105930328
"- Machine Learning (ML) – Lab T, 09:00‑11:00","- Machine Learning (ML) – Lab T, 09:00‑11:00",0.9999999403953552,0.9999999403953552,0.9999999403953552,,1.0000001192092896
"- Statistica Computazionale (SC) – Aula Magna di Matematica, 09:00‑11:00","- Statistica Computazionale (SC) – Aula Magna di Matematica, 09:00‑11:00",1.0,1.0,1.0,,1.0
,,0.0,0.0,0.0,,0.9999999701976776
Le lezioni del Lunedì sono:,Le lezioni del Lunedì sono:,1.0000001192092896,1.0000001192092896,1.0000001192092896,,1.0000000596046448
"- Programmazione (PR) – Lab T, 09:00‑11:00","- Programmazione (PR) – Lab T, 09:00‑11:00",0.9999998211860657,0.9999998211860657,0.9999998211860657,,1.0
"- Deep Learning (DL) – Lab M, 14:00‑16:00","- Deep Learning (DL) – Lab M, 14:00‑16:00",1.0000001192092896,1.0000001192092896,1.0000001192092896,,0.9999999105930328
"- Machine Learning (ML) – Lab T, 09:00‑11:00","- Machine Learning (ML) – Lab T, 09:00‑11:00",0.9999999403953552,0.9999999403953552,0.9999999403953552,,1.0000001192092896
"- Statistica Computazionale (SC) – Aula Magna di Matematica, 09:00‑11:00","- Statistica Computazionale (SC) – Aula Magna di Matematica, 09:00‑11:00",1.0,1.0,1.0,,1.0
,,0.0,0.0,0.0,,0.9999999701976776
Le lezioni del Lunedì sono:,Le lezioni del Lunedì sono:,1.0000001192092896,1.0000001192092896,1.0000001192092896,,1.0000000596046448
"- Programmazione (PR) – Lab T, 09:00‑11:00","- Programmazione (PR) – Lab T, 09:00‑11:00",0.9999998211860657,0.9999998211860657,0.9999998211860657,,1.0
"- Deep Learning (DL) – Lab M, 14:00‑16:00","- Deep Learning (DL) – Lab M, 14:00‑16:00",1.0000001192092896,1.0000001192092896,1.0000001192092896,,0.9999999105930328
"- Machine Learning (ML) – Lab T, 09:00‑11:00","- Machine Learning (ML) – Lab T, 09:00‑11:00",0.9999999403953552,0.9999999403953552,0.9999999403953552,,1.0000001192092896
"- Statistica Computazionale (SC) – Aula Magna di Matematica, 09:00‑11:00","- Statistica Computazionale (SC) – Aula Magna di Matematica, 09:00‑11:00",1.0,1.0,1.0,,1.0
,,0.0,0.0,0.0,,0.9999999701976776
Le lezioni del Lunedì sono:,Le lezioni del Lunedì sono:,1.0000001192092896,1.0000001192092896,1.0000001192092896,,1.0000000596046448
"- Programmazione (PR) – Lab T, 09:00‑11:00","- Programmazione (PR) – Lab T, 09:00‑11:00",0.9999998211860657,0.9999998211860657,0.9999998211860657,,1.0
"- Deep Learning (DL) – Lab M, 14:00‑16:00","- Deep Learning (DL) – Lab M, 14:00‑16:00",1.0000001192092896,1.0000001192092896,1.0000001192092896,,0.9999999105930328
"- Machine Learning (ML) – Lab T, 09:00‑11:00","- Machine Learning (ML) – Lab T, 09:00‑11:00",0.9999999403953552,0.9999999403953552,0.9999999403953552,,1.0000001192092896
"- Statistica Computazionale (SC) – Aula Magna di Matematica, 09:00‑11:00","- Statistica Computazionale (SC) – Aula Magna di Matematica, 09:00‑11:00",1.0,1.0,1.0,,1.0
,,0.0,0.0,0.0,,0.9999999701976776
Le lezioni del Lunedì sono:,Le lezioni del Lunedì sono:,1.0000001192092896,1.0000001192092896,1.0000001192092896,,1.0000000596046448
"- Programmazione (PR) – Lab T, 09:00‑11:00","- Programmazione (PR) – Lab T, 09:00‑11:00",0.9999998211860657,0.9999998211860657,0.9999998211860657,,1.0
"- Deep Learning (DL) – Lab M, 14:00‑16:00","- Deep Learning (DL) – Lab M, 14:00‑16:00",1.0000001192092896,1.0000001192092896,1.0000001192092896,,0.9999999105930328
